invoice_id,contract_id,account_id,invoice_date,period_month,amount
INV000001,C0001,A0154,2026-05-01,2026-05-01,21707.08
INV000002,C0002,A0302,2024-11-01,2024-11-01,1520.92
INV000003,C0002,A0302,2024-12-01,2024-12-01,1520.92
INV000004,C0002,A0302,2025-01-01,2025-01-01,1520.92
INV000005,C0002,A0302,2025-02-01,2025-02-01,1520.92
INV000006,C0002,A0302,2025-03-01,2025-03-01,1520.92
INV000007,C0002,A0302,2025-04-01,2025-04-01,1520.92
INV000008,C0002,A0302,2025-05-01,2025-05-01,1520.92
INV000009,C0002,A0302,2025-06-01,2025-06-01,1520.92
INV000010,C0002,A0302,2025-07-01,2025-07-01,1520.92
INV000011,C0002,A0302,2025-08-01,2025-08-01,1520.92
INV000012,C0002,A0302,2025-09-01,2025-09-01,1520.92
INV000013,C0002,A0302,2025-10-01,2025-10-01,1520.92
INV000014,C0002,A0302,2025-11-01,2025-11-01,1520.92
INV000015,C0002,A0302,2025-12-01,2025-12-01,1520.92
INV000016,C0002,A0302,2026-01-01,2026-01-01,1520.92
INV000017,C0002,A0302,2026-02-01,2026-02-01,1520.92
INV000018,C0002,A0302,2026-03-01,2026-03-01,1520.92
INV000019,C0002,A0302,2026-04-01,2026-04-01,1520.92
INV000020,C0002,A0302,2026-05-01,2026-05-01,1520.92
INV000021,C0003,A0176,2025-09-01,2025-09-01,1491.17
INV000022,C0003,A0176,2025-10-01,2025-10-01,1491.17
INV000023,C0003,A0176,2025-11-01,2025-11-01,1491.17
INV000024,C0003,A0176,2025-12-01,2025-12-01,1491.17
INV000025,C0003,A0176,2026-01-01,2026-01-01,1491.17
INV000026,C0003,A0176,2026-02-01,2026-02-01,1491.17
INV000027,C0003,A0176,2026-03-01,2026-03-01,1491.17
INV000028,C0003,A0176,2026-04-01,2026-04-01,1491.17
INV000029,C0003,A0176,2026-05-01,2026-05-01,1491.17
INV000030,C0004,A0083,2025-01-01,2025-01-01,6525.83
INV000031,C0004,A0083,2025-02-01,2025-02-01,6525.83
INV000032,C0004,A0083,2025-03-01,2025-03-01,6525.83
INV000033,C0004,A0083,2025-04-01,2025-04-01,6525.83
INV000034,C0004,A0083,2025-05-01,2025-05-01,6525.83
