opportunity_id,account_id,lead_id,rep_id,created_date,close_date,stage,amount,is_closed,is_won
O00001,A0154,L00001,R006,2026-04-19,2026-05-09,Closed Won,260485.0,1,1
O00002,A0302,L00002,R018,2024-08-15,2024-11-15,Closed Won,18251.0,1,1
O00003,A0084,L00003,R018,2026-05-26,,Proposal,78020.0,0,0
O00004,A0176,L00004,R002,2025-07-23,2025-09-30,Closed Won,17894.0,1,1
O00005,A0274,L00005,R015,2026-05-14,,Qualification,6661.0,0,0
O00006,A0017,L00006,R006,2026-03-11,,Proposal,5328.0,0,0
O00007,A0471,L00007,R007,2026-05-02,,Prospecting,6525.0,0,0
O00008,A0083,L00008,R008,2024-11-27,2025-01-28,Closed Won,78310.0,1,1
O00009,A0331,L00009,R005,2025-11-14,2026-02-15,Closed Won,39490.0,1,1
O00010,A0332,L00010,R009,2024-10-22,2024-12-07,Closed Won,14833.0,1,1
O00011,A0199,L00011,R017,2025-11-09,2026-02-19,Closed Won,13013.0,1,1
O00012,A0132,L00012,R005,2026-05-13,,Prospecting,12619.0,0,0
O00013,A0334,L00013,R013,2026-04-23,,Qualification,6404.0,0,0
O00014,A0262,L00014,R013,2026-05-14,,Qualification,55095.0,0,0
O00015,A0427,L00015,R010,2026-05-14,,Qualification,22275.0,0,0
O00016,A0475,L00016,R018,2026-03-18,,Prospecting,123821.0,0,0
O00017,A0342,L00017,R018,2025-01-20,2025-04-26,Closed Lost,8308.0,1,0
O00018,A0429,L00018,R009,2026-05-20,,Negotiation,54058.0,0,0
O00019,A0470,L00019,R011,2025-10-31,2025-12-26,Closed Won,26922.0,1,1
O00020,A0237,L00020,R005,2025-06-16,2025-09-21,Closed Won,31285.0,1,1
O00021,A0238,L00021,R017,2025-03-15,2025-05-12,Closed Won,9400.0,1,1
O00022,A0114,L00022,R018,2025-01-31,2025-04-02,Closed Lost,9923.0,1,0
O00023,A0371,L00023,R010,2025-10-10,2025-11-06,Closed Won,17443.0,1,1
O00024,A0263,L00024,R001,2024-06-29,2024-08-13,Closed Won,14317.0,1,1
O00025,A0185,L00025,R010,2026-03-29,2026-05-03,Closed Lost,12605.0,1,0
O00026,A0298,L00026,R018,2025-04-24,2025-07-23,Closed Lost,126552.0,1,0
O00027,A0046,L00027,R007,2024-12-06,2025-03-09,Closed Won,5449.0,1,1
O00028,A0011,L00028,R018,2024-09-13,2024-12-02,Closed Lost,17784.0,1,0
O00029,A0305,L00029,R013,2025-07-08,2025-09-01,Closed Lost,160074.0,1,0
O00030,A0312,L00030,R002,2025-05-19,2025-08-31,Closed Lost,14576.0,1,0
O00031,A0139,L00031,R016,2025-03-02,2025-06-21,Closed Won,10327.0,1,1
O00032,A0402,L00032,R008,2024-05-27,2024-07-03,Closed Won,59323.0,1,1
O00033,A0369,L00033,R013,2025-04-17,2025-05-31,Closed Lost,14552.0,1,0
O00034,A0471,L00034,R010,2026-05-25,,Qualification,10873.0,0,0
O00035,A0130,L00035,R011,2026-04-13,,Prospecting,18243.0,0,0
O00036,A0373,L00036,R008,2026-04-18,,Proposal,40125.0,0,0
O00037,A0434,L00037,R011,2024-11-16,2025-02-04,Closed Lost,14561.0,1,0
O00038,A0207,L00038,R016,2025-04-16,2025-05-31,Closed Won,19267.0,1,1
O00039,A0432,L00039,R015,2024-10-29,2025-02-06,Closed Lost,7954.0,1,0
O00040,A0387,L00040,R014,2024-07-30,2024-11-24,Closed Lost,57767.0,1,0
O00041,A0215,L999939,R007,2025-05-18,2025-07-02,Closed Won,12821.0,1,1
O00042,A0003,L00042,R005,2025-03-16,2025-05-19,Closed Lost,17019.0,1,0
O00043,A0084,L00043,R001,2026-04-29,,Proposal,73991.0,0,0
O00044,A0451,L00044,R014,2024-05-20,2024-07-30,Closed Won,43543.0,1,1
O00045,A0253,L00045,R007,2025-05-20,2025-06-13,Closed Lost,112286.0,1,0
O00046,A0055,L00046,R001,2025-07-29,2025-10-10,Closed Lost,18698.0,1,0
O00047,A0316,L00047,R008,2025-02-01,2025-04-28,Closed Won,9933.0,1,1
O00048,A0360,L00048,R006,2026-05-04,,Qualification,6928.0,0,0
O00049,A0262,L00049,R007,2024-06-10,2024-07-20,Closed Lost,33216.0,1,0
O00050,A0045,L00050,R016,2024-08-01,2024-09-09,Closed Lost,6809.0,1,0
O00051,A0323,L00051,R018,2024-06-21,2024-09-08,Closed Won,49933.0,1,1
O00052,A0339,,R014,2024-06-16,2024-10-11,Closed Won,11979.0,1,1
O00053,A0219,L00053,R005,2025-04-16,2025-06-22,Closed Lost,15187.0,1,0
O00054,A0136,L00054,R013,2026-02-24,2026-05-08,Closed Lost,11319.0,1,0
O00055,A0491,L00055,R003,2025-09-07,2025-12-11,Closed Lost,75335.0,1,0
O00056,A0440,L00056,R018,2024-08-24,2024-11-14,Closed Won,16915.0,1,1
O00057,A0435,L00057,R014,2024-12-16,2025-03-18,Closed Lost,217577.0,1,0
O00058,A0331,L00058,R009,2025-05-30,2025-09-09,Closed Lost,36290.0,1,0
O00059,A0006,L00059,R010,2024-10-17,2025-01-08,Closed Lost,121137.0,1,0
O00060,A0166,,R001,2025-05-23,2025-09-02,Closed Won,9557.0,1,1
O00061,A0045,L00061,R009,2026-03-01,2026-05-23,Closed Won,13166.0,1,1
O00062,A0046,L00062,R018,2025-11-27,2026-02-20,Closed Lost,14899.0,1,0
O00063,A0182,L00063,R015,2026-04-13,,Negotiation,23556.0,0,0
O00064,A0002,L00064,R015,2026-04-08,,Proposal,43274.0,0,0
O00065,A0359,L00065,R008,2024-11-09,2024-12-24,Closed Won,16822.0,1,1
O00066,A0359,L00066,R014,2025-12-24,2026-04-04,Closed Won,6765.0,1,1
O00067,A0068,L00067,R001,2025-07-18,2025-10-16,Closed Lost,210764.0,1,0
O00068,A0408,L00068,R007,2025-09-29,2025-11-29,Closed Lost,26786.0,1,0
O00069,A0482,L00069,R009,2026-01-07,2026-03-20,Closed Won,9819.0,1,1
O00070,A0468,,R004,2025-02-22,2025-06-13,Closed Won,15364.0,1,1
O00071,A0089,L00071,R013,2025-04-26,2025-05-30,Closed Won,222210.0,1,1
O00072,A0374,L00072,R006,2026-03-03,,Prospecting,219959.0,0,0
O00073,A0027,L00073,R004,2026-03-22,,Proposal,94838.0,0,0
O00074,A0103,L00074,R001,2026-03-15,,Qualification,221865.0,0,0
O00075,A0393,L00075,R013,2025-05-26,2025-06-21,Closed Lost,18087.0,1,0
O00076,A0007,L00076,R004,2026-04-27,,Qualification,36471.0,0,0
O00077,A0378,L00077,R014,2024-11-15,2025-03-07,Closed Won,13955.0,1,1
O00078,A0368,L00078,R007,2025-01-26,2025-04-27,Closed Lost,27821.0,1,0
O00079,A0166,L00079,R017,2026-01-02,2026-03-04,Closed Won,16627.0,1,1
O00080,A0395,L00080,R007,2026-04-11,,Qualification,14013.0,0,0
O00081,A0080,L00081,R010,2024-12-05,2025-01-22,Closed Won,55591.0,1,1
O00082,A0266,L00082,R015,2026-03-03,,Prospecting,14196.0,0,0
O00083,A0121,L00083,R012,2026-03-30,2026-04-24,Closed Lost,15522.0,1,0
O00084,A0271,L00084,R001,2025-05-19,2025-09-14,Closed Lost,154141.0,1,0
O00085,A0475,L00085,R018,2026-05-09,,Prospecting,123881.0,0,0
O00086,A0336,L00086,R004,2024-11-27,2024-12-30,Closed Lost,17674.0,1,0
O00087,A0359,L00087,R002,2025-11-23,2026-01-14,Closed Won,5620.0,1,1
O00088,A0316,L00088,R006,2025-10-30,2025-12-04,Closed Won,12094.0,1,1
O00089,A0351,L00089,R007,2026-04-03,2026-05-30,Closed Lost,24757.0,1,0
O00090,A0198,,R001,2024-09-17,2024-11-04,Closed Won,63301.0,1,1
O00091,A0150,L00091,R017,2026-05-23,,Proposal,78128.0,0,0
O00092,A0003,L00092,R008,2025-03-09,2025-04-08,Closed Lost,14775.0,1,0
O00093,A0426,L00093,R003,2024-11-15,2025-01-06,Closed Won,29335.0,1,1
O00094,A0467,L00094,R009,2026-03-19,2026-05-15,Closed Lost,55969.0,1,0
O00095,A0363,L00095,R018,2024-12-27,2025-04-11,Closed Won,207714.0,1,1
O00096,A0165,L00096,R006,2025-12-02,2026-03-04,Closed Lost,252863.0,1,0
O00097,A0393,L00097,R014,2024-09-15,2024-11-20,Closed Lost,16668.0,1,0
O00098,A0276,,R012,2024-09-21,2024-11-15,Closed Won,7879.0,1,1
O00099,A0447,L00099,R012,2026-05-15,,Negotiation,212953.0,0,0
O00100,A0270,L00100,R014,2025-12-25,2026-02-11,Closed Won,15713.0,1,1
