history_id,opportunity_id,stage,entered_at,exited_at
H000001,O00001,Prospecting,2026-04-19,2026-04-19
H000002,O00001,Qualification,2026-04-19,2026-05-08
H000003,O00001,Proposal,2026-05-08,2026-05-08
H000004,O00001,Negotiation,2026-05-08,2026-05-09
H000005,O00001,Closed Won,2026-05-09,
H000006,O00002,Prospecting,2024-08-15,2024-09-05
H000007,O00002,Qualification,2024-09-05,2024-10-22
H000008,O00002,Proposal,2024-10-22,2024-11-13
H000009,O00002,Negotiation,2024-11-13,2024-11-15
H000010,O00002,Closed Won,2024-11-15,
H000011,O00003,Prospecting,2026-05-26,2026-05-27
H000012,O00003,Qualification,2026-05-27,2026-05-29
H000013,O00003,Proposal,2026-05-29,
H000014,O00004,Prospecting,2025-07-23,2025-08-18
H000015,O00004,Qualification,2025-08-18,2025-08-26
H000016,O00004,Proposal,2025-08-26,2025-09-22
H000017,O00004,Negotiation,2025-09-22,2025-09-30
H000018,O00004,Closed Won,2025-09-30,
H000019,O00005,Prospecting,2026-05-14,2026-05-27
H000020,O00005,Qualification,2026-05-27,
H000021,O00006,Prospecting,2026-03-11,2026-03-17
H000022,O00006,Qualification,2026-03-17,2026-03-24
H000023,O00006,Proposal,2026-03-24,
H000024,O00007,Prospecting,2026-05-02,
H000025,O00008,Prospecting,2024-11-27,2024-12-30
H000026,O00008,Qualification,2024-12-30,2024-12-31
H000027,O00008,Proposal,2024-12-31,2025-01-23
H000028,O00008,Negotiation,2025-01-23,2025-01-28
H000029,O00008,Closed Won,2025-01-28,
H000030,O00009,Prospecting,2025-11-14,2025-12-11
H000031,O00009,Qualification,2025-12-11,2025-12-17
H000032,O00009,Proposal,2025-12-17,2025-12-23
H000033,O00009,Negotiation,2025-12-23,2026-02-15
H000034,O00009,Closed Won,2026-02-15,
H000035,O00010,Prospecting,2024-10-22,2024-10-25
H000036,O00010,Qualification,2024-10-25,2024-11-05
H000037,O00010,Proposal,2024-11-05,2024-11-29
H000038,O00010,Negotiation,2024-11-29,2024-12-07
H000039,O00010,Closed Won,2024-12-07,
H000040,O00011,Prospecting,2025-11-09,2025-12-16
H000041,O00011,Qualification,2025-12-16,2025-12-24
H000042,O00011,Proposal,2025-12-24,2026-02-07
H000043,O00011,Negotiation,2026-02-07,2026-02-19
H000044,O00011,Closed Won,2026-02-19,
H000045,O00012,Prospecting,2026-05-13,
H000046,O00013,Prospecting,2026-04-23,2026-05-07
H000047,O00013,Qualification,2026-05-07,
H000048,O00014,Prospecting,2026-05-14,2026-05-20
H000049,O00014,Qualification,2026-05-20,
H000050,O00015,Prospecting,2026-05-14,2026-05-21
H000051,O00015,Qualification,2026-05-21,
H000052,O00016,Prospecting,2026-03-18,
H000053,O00017,Prospecting,2025-01-20,2025-03-13
H000054,O00017,Qualification,2025-03-13,2025-03-14
H000055,O00017,Proposal,2025-03-14,2025-04-26
H000056,O00017,Closed Lost,2025-04-26,
H000057,O00018,Prospecting,2026-05-20,2026-05-21
H000058,O00018,Qualification,2026-05-21,2026-05-26
H000059,O00018,Proposal,2026-05-26,2026-05-28
H000060,O00018,Negotiation,2026-05-28,
H000061,O00019,Prospecting,2025-10-31,2025-11-14
H000062,O00019,Qualification,2025-11-14,2025-12-02
H000063,O00019,Proposal,2025-12-02,2025-12-06
H000064,O00019,Negotiation,2025-12-06,2025-12-26
H000065,O00019,Closed Won,2025-12-26,
H000066,O00020,Prospecting,2025-06-16,2025-06-20
H000067,O00020,Qualification,2025-06-20,2025-08-21
H000068,O00020,Proposal,2025-08-21,2025-09-09
H000069,O00020,Negotiation,2025-09-09,2025-09-21
H000070,O00020,Closed Won,2025-09-21,
H000071,O00021,Prospecting,2025-03-15,2025-04-23
H000072,O00021,Qualification,2025-04-23,2025-05-03
H000073,O00021,Proposal,2025-05-03,2025-05-10
H000074,O00021,Negotiation,2025-05-10,2025-05-12
H000075,O00021,Closed Won,2025-05-12,
H000076,O00022,Prospecting,2025-01-31,2025-02-11
H000077,O00022,Qualification,2025-02-11,2025-02-12
H000078,O00022,Proposal,2025-02-12,2025-03-22
H000079,O00022,Negotiation,2025-03-22,2025-04-02
H000080,O00022,Closed Lost,2025-04-02,
H000081,O00023,Prospecting,2025-10-10,2025-10-20
H000082,O00023,Qualification,2025-10-20,2025-10-29
H000083,O00023,Proposal,2025-10-29,2025-10-31
H000084,O00023,Negotiation,2025-10-31,2025-11-06
H000085,O00023,Closed Won,2025-11-06,
H000086,O00024,Prospecting,2024-06-29,2024-07-01
H000087,O00024,Qualification,2024-07-01,2024-07-07
H000088,O00024,Proposal,2024-07-07,2024-07-15
H000089,O00024,Negotiation,2024-07-15,2024-08-13
H000090,O00024,Closed Won,2024-08-13,
H000091,O00025,Prospecting,2026-03-29,2026-05-03
H000092,O00025,Closed Lost,2026-05-03,
H000093,O00026,Prospecting,2025-04-24,2025-05-17
H000094,O00026,Qualification,2025-05-17,2025-07-07
H000095,O00026,Proposal,2025-07-07,2025-07-23
H000096,O00026,Closed Lost,2025-07-23,
H000097,O00027,Prospecting,2024-12-06,2024-12-31
H000098,O00027,Qualification,2024-12-31,2025-01-13
H000099,O00027,Proposal,2025-01-13,2025-02-07
H000100,O00027,Negotiation,2025-02-07,2025-03-09
H000101,O00027,Closed Won,2025-03-09,
H000102,O00028,Prospecting,2024-09-13,2024-09-30
H000103,O00028,Qualification,2024-09-30,2024-12-02
H000104,O00028,Closed Lost,2024-12-02,
H000105,O00029,Prospecting,2025-07-08,2025-07-20
H000106,O00029,Qualification,2025-07-20,2025-07-24
H000107,O00029,Proposal,2025-07-24,2025-08-05
H000108,O00029,Negotiation,2025-08-05,2025-09-01
H000109,O00029,Closed Lost,2025-09-01,
H000110,O00030,Prospecting,2025-05-19,2025-06-22
H000111,O00030,Qualification,2025-06-22,2025-07-08
H000112,O00030,Proposal,2025-07-08,2025-08-31
H000113,O00030,Closed Lost,2025-08-31,
H000114,O00031,Prospecting,2025-03-02,2025-05-25
H000115,O00031,Qualification,2025-05-25,2025-05-30
H000116,O00031,Proposal,2025-05-30,2025-06-09
H000117,O00031,Negotiation,2025-06-09,2025-06-21
H000118,O00031,Closed Won,2025-06-21,
H000119,O00032,Prospecting,2024-05-27,2024-06-06
H000120,O00032,Qualification,2024-06-06,2024-06-10
H000121,O00032,Proposal,2024-06-10,2024-06-29
H000122,O00032,Negotiation,2024-06-29,2024-07-03
H000123,O00032,Closed Won,2024-07-03,
H000124,O00033,Prospecting,2025-04-17,2025-05-07
H000125,O00033,Qualification,2025-05-07,2025-05-31
H000126,O00033,Closed Lost,2025-05-31,
H000127,O00034,Prospecting,2026-05-25,2026-05-25
H000128,O00034,Qualification,2026-05-25,
H000129,O00035,Prospecting,2026-04-13,
H000130,O00036,Prospecting,2026-04-18,2026-05-08
H000131,O00036,Qualification,2026-05-08,2025-11-15
H000132,O00036,Proposal,2025-11-15,
H000133,O00037,Prospecting,2024-11-16,2025-02-04
H000134,O00037,Closed Lost,2025-02-04,
H000135,O00038,Prospecting,2025-04-16,2025-04-22
H000136,O00038,Qualification,2025-04-22,2025-05-26
H000137,O00038,Proposal,2025-05-26,2025-05-30
H000138,O00038,Negotiation,2025-05-30,2025-05-31
H000139,O00038,Closed Won,2025-05-31,
H000140,O00039,Prospecting,2024-10-29,2024-11-18
H000141,O00039,Qualification,2024-11-18,2024-12-13
H000142,O00039,Proposal,2024-12-13,2025-02-06
H000143,O00039,Closed Lost,2025-02-06,
H000144,O00040,Prospecting,2024-07-30,2024-09-18
H000145,O00040,Qualification,2024-09-18,2024-11-24
H000146,O00040,Closed Lost,2024-11-24,
H000147,O00041,Prospecting,2025-05-18,2025-05-18
H000148,O00041,Qualification,2025-05-18,2025-06-10
H000149,O00041,Proposal,2025-06-10,2025-06-21
H000150,O00041,Negotiation,2025-06-21,2025-07-02
H000151,O00041,Closed Won,2025-07-02,
H000152,O00042,Prospecting,2025-03-16,2025-04-22
H000153,O00042,Qualification,2025-04-22,2025-05-19
H000154,O00042,Closed Lost,2025-05-19,
H000155,O00043,Prospecting,2026-04-29,2026-05-09
H000156,O00043,Qualification,2026-05-09,2026-05-30
H000157,O00043,Proposal,2026-05-30,
H000158,O00044,Prospecting,2024-05-20,2024-05-21
H000159,O00044,Qualification,2024-05-21,2024-06-03
H000160,O00044,Proposal,2024-06-03,2024-07-28
H000161,O00044,Negotiation,2024-07-28,2024-07-30
H000162,O00044,Closed Won,2024-07-30,
